,Channel_L,Channel_R,Distance_To_Tip(um),Inside_Brain,Voxel_AP,Voxel_DV,Voxel_ML,SphinxID,Acronym,Name,Certainty
0,1,2,185,True,765,488,388,803,ZI,Zona incerta,1.0
1,3,4,205,True,765,487,389,803,ZI,Zona incerta,1.0
2,5,6,225,True,765,485,389,803,ZI,Zona incerta,1.0
3,7,8,245,True,765,483,389,803,ZI,Zona incerta,1.0
4,9,10,265,True,765,481,390,803,ZI,Zona incerta,1.0
5,11,12,285,True,764,479,390,803,ZI,Zona incerta,1.0
6,13,14,305,True,764,477,390,803,ZI,Zona incerta,1.0
7,15,16,325,True,764,475,391,803,ZI,Zona incerta,1.0
8,17,18,345,True,764,473,391,803,ZI,Zona incerta,1.0
9,19,20,365,True,764,471,391,803,ZI,Zona incerta,1.0
10,21,22,385,True,764,469,392,803,ZI,Zona incerta,1.0
11,23,24,405,True,764,467,392,803,ZI,Zona incerta,1.0
12,25,26,425,True,763,465,392,803,ZI,Zona incerta,1.0
13,27,28,445,True,763,463,393,803,ZI,Zona incerta,1.0
14,29,30,465,True,763,461,393,803,ZI,Zona incerta,1.0
15,31,32,485,True,763,459,393,803,ZI,Zona incerta,0.9912536443148688
16,33,34,505,True,763,457,393,803,ZI,Zona incerta,0.8833819241982507
17,35,36,525,True,763,455,394,803,ZI,Zona incerta,0.565597667638484
18,37,38,545,True,763,453,394,716,HY,Hypothalamus,0.5189504373177842
19,39,40,565,True,762,451,394,1160,ml,medial lemniscus,0.5364431486880467
20,41,42,585,True,762,449,395,1160,ml,medial lemniscus,0.8542274052478134
21,43,44,605,True,762,447,395,1160,ml,medial lemniscus,0.9766763848396501
22,45,46,625,True,762,445,395,1160,ml,medial lemniscus,0.9329446064139941
23,47,48,645,True,762,443,396,1160,ml,medial lemniscus,0.6647230320699709
24,49,50,665,True,762,441,396,642,TH,Thalamus,0.5247813411078717
25,51,52,685,True,762,439,396,642,TH,Thalamus,0.6005830903790087
26,53,54,705,True,761,437,397,650,VPM,Ventral posteromedial nucleus of the thalamus,0.6909620991253644
27,55,56,725,True,761,435,397,650,VPM,Ventral posteromedial nucleus of the thalamus,0.880466472303207
28,57,58,745,True,761,433,397,650,VPM,Ventral posteromedial nucleus of the thalamus,0.9737609329446064
29,59,60,765,True,761,431,398,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
30,61,62,785,True,761,429,398,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
31,63,64,805,True,761,427,398,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
32,65,66,825,True,761,426,399,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
33,67,68,845,True,760,424,399,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
34,69,70,865,True,760,422,399,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
35,71,72,885,True,760,420,400,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
36,73,74,905,True,760,418,400,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
37,75,76,925,True,760,416,400,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
38,77,78,945,True,760,414,401,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
39,79,80,965,True,760,412,401,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
40,81,82,985,True,759,410,401,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
41,83,84,1005,True,759,408,402,650,VPM,Ventral posteromedial nucleus of the thalamus,1.0
42,85,86,1025,True,759,406,402,650,VPM,Ventral posteromedial nucleus of the thalamus,0.9650145772594753
43,87,88,1045,True,759,404,402,650,VPM,Ventral posteromedial nucleus of the thalamus,0.8513119533527697
44,89,90,1065,True,759,402,403,650,VPM,Ventral posteromedial nucleus of the thalamus,0.5364431486880467
45,91,92,1085,True,759,400,403,670,PO,Posterior complex of the thalamus,0.7026239067055393
46,93,94,1105,True,759,398,403,670,PO,Posterior complex of the thalamus,0.8746355685131195
47,95,96,1125,True,758,396,404,670,PO,Posterior complex of the thalamus,0.9854227405247813
48,97,98,1145,True,758,394,404,670,PO,Posterior complex of the thalamus,1.0
49,99,100,1165,True,758,392,404,670,PO,Posterior complex of the thalamus,1.0
50,101,102,1185,True,758,390,404,670,PO,Posterior complex of the thalamus,1.0
51,103,104,1205,True,758,388,405,670,PO,Posterior complex of the thalamus,1.0
52,105,106,1225,True,758,386,405,670,PO,Posterior complex of the thalamus,1.0
53,107,108,1245,True,758,384,405,670,PO,Posterior complex of the thalamus,1.0
54,109,110,1265,True,757,382,406,670,PO,Posterior complex of the thalamus,1.0
55,111,112,1285,True,757,380,406,670,PO,Posterior complex of the thalamus,1.0
56,113,114,1305,True,757,378,406,670,PO,Posterior complex of the thalamus,1.0
57,115,116,1325,True,757,376,407,670,PO,Posterior complex of the thalamus,1.0
58,117,118,1345,True,757,374,407,670,PO,Posterior complex of the thalamus,1.0
59,119,120,1365,True,757,372,407,670,PO,Posterior complex of the thalamus,1.0
60,121,122,1385,True,757,370,408,670,PO,Posterior complex of the thalamus,1.0
61,123,124,1405,True,756,368,408,670,PO,Posterior complex of the thalamus,1.0
62,125,126,1425,True,756,366,408,670,PO,Posterior complex of the thalamus,1.0
63,127,128,1445,True,756,364,409,670,PO,Posterior complex of the thalamus,1.0
64,129,130,1465,True,756,363,409,670,PO,Posterior complex of the thalamus,1.0
65,131,132,1485,True,756,361,409,670,PO,Posterior complex of the thalamus,1.0
66,133,134,1505,True,756,359,410,670,PO,Posterior complex of the thalamus,1.0
67,135,136,1525,True,756,357,410,670,PO,Posterior complex of the thalamus,1.0
68,137,138,1545,True,755,355,410,670,PO,Posterior complex of the thalamus,1.0
69,139,140,1565,True,755,353,411,670,PO,Posterior complex of the thalamus,1.0
70,141,142,1585,True,755,351,411,670,PO,Posterior complex of the thalamus,1.0
71,143,144,1605,True,755,349,411,670,PO,Posterior complex of the thalamus,1.0
72,145,146,1625,True,755,347,412,670,PO,Posterior complex of the thalamus,1.0
73,147,148,1645,True,755,345,412,670,PO,Posterior complex of the thalamus,1.0
74,149,150,1665,True,755,343,412,670,PO,Posterior complex of the thalamus,1.0
75,151,152,1685,True,754,341,413,670,PO,Posterior complex of the thalamus,1.0
76,153,154,1705,True,754,339,413,670,PO,Posterior complex of the thalamus,1.0
77,155,156,1725,True,754,337,413,670,PO,Posterior complex of the thalamus,1.0
78,157,158,1745,True,754,335,414,670,PO,Posterior complex of the thalamus,0.9912536443148688
79,159,160,1765,True,754,333,414,670,PO,Posterior complex of the thalamus,0.8454810495626822
80,161,162,1785,True,754,331,414,670,PO,Posterior complex of the thalamus,0.5626822157434402
81,163,164,1805,True,754,329,415,669,LP,Lateral posterior nucleus of the thalamus,0.6763848396501457
82,165,166,1825,True,753,327,415,669,LP,Lateral posterior nucleus of the thalamus,0.9008746355685131
83,167,168,1845,True,753,325,415,669,LP,Lateral posterior nucleus of the thalamus,1.0
84,169,170,1865,True,753,323,415,669,LP,Lateral posterior nucleus of the thalamus,1.0
85,171,172,1885,True,753,321,416,669,LP,Lateral posterior nucleus of the thalamus,1.0
86,173,174,1905,True,753,319,416,669,LP,Lateral posterior nucleus of the thalamus,1.0
87,175,176,1925,True,753,317,416,669,LP,Lateral posterior nucleus of the thalamus,1.0
88,177,178,1945,True,753,315,417,669,LP,Lateral posterior nucleus of the thalamus,1.0
89,179,180,1965,True,752,313,417,669,LP,Lateral posterior nucleus of the thalamus,1.0
90,181,182,1985,True,752,311,417,669,LP,Lateral posterior nucleus of the thalamus,1.0
91,183,184,2005,True,752,309,418,669,LP,Lateral posterior nucleus of the thalamus,1.0
92,185,186,2025,True,752,307,418,669,LP,Lateral posterior nucleus of the thalamus,1.0
93,187,188,2045,True,752,305,418,669,LP,Lateral posterior nucleus of the thalamus,1.0
94,189,190,2065,True,752,303,419,669,LP,Lateral posterior nucleus of the thalamus,1.0
95,191,192,2085,True,752,301,419,669,LP,Lateral posterior nucleus of the thalamus,1.0
96,193,194,2105,True,751,300,419,669,LP,Lateral posterior nucleus of the thalamus,1.0
97,195,196,2125,True,751,298,420,669,LP,Lateral posterior nucleus of the thalamus,1.0
98,197,198,2145,True,751,296,420,669,LP,Lateral posterior nucleus of the thalamus,1.0
99,199,200,2165,True,751,294,420,669,LP,Lateral posterior nucleus of the thalamus,1.0
100,201,202,2185,True,751,292,421,669,LP,Lateral posterior nucleus of the thalamus,1.0
101,203,204,2205,True,751,290,421,669,LP,Lateral posterior nucleus of the thalamus,1.0
102,205,206,2225,True,751,288,421,669,LP,Lateral posterior nucleus of the thalamus,1.0
103,207,208,2245,True,750,286,422,669,LP,Lateral posterior nucleus of the thalamus,1.0
104,209,210,2265,True,750,284,422,669,LP,Lateral posterior nucleus of the thalamus,1.0
105,211,212,2285,True,750,282,422,669,LP,Lateral posterior nucleus of the thalamus,1.0
106,213,214,2305,True,750,280,423,669,LP,Lateral posterior nucleus of the thalamus,1.0
107,215,216,2325,True,750,278,423,669,LP,Lateral posterior nucleus of the thalamus,0.8571428571428571
108,217,218,2345,True,750,276,423,669,LP,Lateral posterior nucleus of the thalamus,0.5714285714285714
109,219,220,2365,True,750,274,424,1,root,root,0.6793002915451894
110,221,222,2385,True,749,272,424,1,root,root,0.7696793002915452
111,223,224,2405,True,749,270,424,475,DG-mo,Dentate gyrus molecular layer,0.5160349854227405
112,225,226,2425,True,749,268,425,475,DG-mo,Dentate gyrus molecular layer,0.7813411078717201
113,227,228,2445,True,749,266,425,475,DG-mo,Dentate gyrus molecular layer,0.9795918367346939
114,229,230,2465,True,749,264,425,475,DG-mo,Dentate gyrus molecular layer,1.0
115,231,232,2485,True,749,262,425,475,DG-mo,Dentate gyrus molecular layer,1.0
116,233,234,2505,True,749,260,426,475,DG-mo,Dentate gyrus molecular layer,1.0
117,235,236,2525,True,748,258,426,475,DG-mo,Dentate gyrus molecular layer,1.0
118,237,238,2545,True,748,256,426,475,DG-mo,Dentate gyrus molecular layer,1.0
119,239,240,2565,True,748,254,427,475,DG-mo,Dentate gyrus molecular layer,0.9591836734693877
120,241,242,2585,True,748,252,427,475,DG-mo,Dentate gyrus molecular layer,0.7288629737609329
121,243,244,2605,True,748,250,427,477,DG-sg,Dentate gyrus granule cell layer,0.5568513119533528
122,245,246,2625,True,748,248,428,477,DG-sg,Dentate gyrus granule cell layer,0.8367346938775511
123,247,248,2645,True,748,246,428,477,DG-sg,Dentate gyrus granule cell layer,1.0
124,249,250,2665,True,747,244,428,477,DG-sg,Dentate gyrus granule cell layer,0.7696793002915452
125,251,252,2685,True,747,242,429,476,DG-po,Dentate gyrus polymorph layer,0.5131195335276968
126,253,254,2705,True,747,240,429,476,DG-po,Dentate gyrus polymorph layer,0.7988338192419825
127,255,256,2725,True,747,238,429,476,DG-po,Dentate gyrus polymorph layer,1.0
128,257,258,2745,True,747,237,430,476,DG-po,Dentate gyrus polymorph layer,0.9591836734693877
129,259,260,2765,True,747,235,430,476,DG-po,Dentate gyrus polymorph layer,0.6938775510204082
130,261,262,2785,True,747,233,430,477,DG-sg,Dentate gyrus granule cell layer,0.5918367346938775
131,263,264,2805,True,746,231,431,477,DG-sg,Dentate gyrus granule cell layer,0.9183673469387755
132,265,266,2825,True,746,229,431,477,DG-sg,Dentate gyrus granule cell layer,1.0
133,267,268,2845,True,746,227,431,477,DG-sg,Dentate gyrus granule cell layer,0.9883381924198251
134,269,270,2865,True,746,225,432,477,DG-sg,Dentate gyrus granule cell layer,0.7346938775510204
135,271,272,2885,True,746,223,432,475,DG-mo,Dentate gyrus molecular layer,0.5510204081632653
136,273,274,2905,True,746,221,432,475,DG-mo,Dentate gyrus molecular layer,0.8367346938775511
137,275,276,2925,True,746,219,433,475,DG-mo,Dentate gyrus molecular layer,1.0
138,277,278,2945,True,746,217,433,475,DG-mo,Dentate gyrus molecular layer,1.0
