,Channel_L,Channel_R,Distance_To_Tip(um),Inside_Brain,Voxel_AP,Voxel_DV,Voxel_ML,SphinxID,Acronym,Name,Certainty
139,279,280,2965,True,745,215,433,475,DG-mo,Dentate gyrus molecular layer,1.0
140,281,282,2985,True,745,213,434,475,DG-mo,Dentate gyrus molecular layer,1.0
141,283,284,3005,True,745,211,434,475,DG-mo,Dentate gyrus molecular layer,1.0
142,285,286,3025,True,745,209,434,475,DG-mo,Dentate gyrus molecular layer,1.0
143,287,288,3045,True,745,207,435,475,DG-mo,Dentate gyrus molecular layer,0.9387755102040817
144,289,290,3065,True,745,205,435,475,DG-mo,Dentate gyrus molecular layer,0.6909620991253644
145,291,292,3085,True,745,203,435,458,CA1,Field CA1,0.5947521865889213
146,293,294,3105,True,744,201,436,458,CA1,Field CA1,0.8979591836734694
147,295,296,3125,True,744,199,436,458,CA1,Field CA1,1.0
148,297,298,3145,True,744,197,436,458,CA1,Field CA1,1.0
149,299,300,3165,True,744,195,436,458,CA1,Field CA1,1.0
150,301,302,3185,True,744,193,437,458,CA1,Field CA1,1.0
151,303,304,3205,True,744,191,437,458,CA1,Field CA1,1.0
152,305,306,3225,True,744,189,437,458,CA1,Field CA1,1.0
153,307,308,3245,True,743,187,438,458,CA1,Field CA1,1.0
154,309,310,3265,True,743,185,438,458,CA1,Field CA1,1.0
155,311,312,3285,True,743,183,438,458,CA1,Field CA1,1.0
156,313,314,3305,True,743,181,439,458,CA1,Field CA1,1.0
157,315,316,3325,True,743,179,439,458,CA1,Field CA1,1.0
158,317,318,3345,True,743,177,439,458,CA1,Field CA1,1.0
159,319,320,3365,True,743,176,440,458,CA1,Field CA1,1.0
160,321,322,3385,True,742,174,440,458,CA1,Field CA1,1.0
161,323,324,3405,True,742,172,440,458,CA1,Field CA1,1.0
162,325,326,3425,True,742,170,441,458,CA1,Field CA1,1.0
163,327,328,3445,True,742,168,441,458,CA1,Field CA1,1.0
164,329,330,3465,True,742,166,441,458,CA1,Field CA1,1.0
165,331,332,3485,True,742,164,442,458,CA1,Field CA1,1.0
166,333,334,3505,True,742,162,442,458,CA1,Field CA1,1.0
167,335,336,3525,True,741,160,442,458,CA1,Field CA1,1.0
168,337,338,3545,True,741,158,443,458,CA1,Field CA1,1.0
169,339,340,3565,True,741,156,443,458,CA1,Field CA1,1.0
170,341,342,3585,True,741,154,443,458,CA1,Field CA1,1.0
171,343,344,3605,True,741,152,444,458,CA1,Field CA1,1.0
172,345,346,3625,True,741,150,444,458,CA1,Field CA1,1.0
173,347,348,3645,True,741,148,444,458,CA1,Field CA1,1.0
174,349,350,3665,True,740,146,445,458,CA1,Field CA1,1.0
175,351,352,3685,True,740,144,445,458,CA1,Field CA1,0.9912536443148688
176,353,354,3705,True,740,142,445,458,CA1,Field CA1,0.760932944606414
177,355,356,3725,True,740,140,446,1246,alv,alveus,0.3206997084548105
178,357,358,3745,True,740,138,446,1200,ccs,corpus callosum splenium,0.5306122448979592
179,359,360,3765,True,740,136,446,1200,ccs,corpus callosum splenium,0.8163265306122449
180,361,362,3785,True,740,134,447,1200,ccs,corpus callosum splenium,1.0
181,363,364,3805,True,739,132,447,1200,ccs,corpus callosum splenium,1.0
182,365,366,3825,True,739,130,447,1200,ccs,corpus callosum splenium,1.0
183,367,368,3845,True,739,128,447,1200,ccs,corpus callosum splenium,1.0
184,369,370,3865,True,739,126,448,1200,ccs,corpus callosum splenium,0.793002915451895
185,371,372,3885,True,739,124,448,1200,ccs,corpus callosum splenium,0.5072886297376094
186,373,374,3905,True,739,122,448,1244,cing,cingulum bundle,0.7784256559766763
187,375,376,3925,True,739,120,449,1244,cing,cingulum bundle,0.8600583090379009
188,377,378,3945,True,738,118,449,1244,cing,cingulum bundle,0.5714285714285714
189,379,380,3965,True,738,116,449,304,RSPagl6b,Retrosplenial area lateral agranular part layer 6b,0.4314868804664723
190,381,382,3985,True,738,114,450,303,RSPagl6a,Retrosplenial area lateral agranular part layer 6a,0.5626822157434402
191,383,384,4005,False,738,113,450,303,RSPagl6a,Retrosplenial area lateral agranular part layer 6a,0.7055393586005831
